transaction_id,transaction_date,amount,vendor_id,department_id,bank_account_id,sector_type,purpose,payment_method,fraud_type,is_fraud
1,12-12-2023,14652.72,325182357,112,8.32E+12,welfare,benefit_transfer,bank,none,0
2,16-03-2023,88015.05,791183852,103,5.41E+12,spending,training,bank,none,0
3,23-01-2024,758753.57,691919222,106,3.40E+12,procurement,goods,bank,none,0
4,11-01-2023,89886.76,244521862,101,1.72E+12,spending,training,bank,none,0
5,20-01-2024,83972.13,667345069,105,1.62E+12,spending,training,bank,none,0
6,27-04-2024,133116.26,832375074,115,1.17E+12,spending,operations,bank,none,0
7,14-04-2024,64594.53,240624834,110,6.97E+12,procurement,goods,bank,none,0
8,03-01-2024,10945.53,704669395,112,1.78E+12,welfare,subsidy,bank,none,0
9,09-07-2023,17294.49,599987952,104,3.80E+12,welfare,benefit_transfer,bank,none,0
10,15-07-2024,850696.88,963181386,108,6.82E+12,procurement,infrastructure,bank,none,0
11,07-11-2024,515246.99,346601881,113,6.36E+12,procurement,services,bank,none,0
12,18-05-2023,16629.11,926267959,109,6.74E+12,welfare,subsidy,bank,none,0
13,04-11-2024,176069.67,832375074,115,1.17E+12,spending,operations,bank,none,0
14,07-03-2024,565162.25,350875089,115,1.12E+12,procurement,goods,bank,none,0
15,15-05-2023,60636.75,951452436,112,8.38E+12,spending,training,bank,none,0
16,02-07-2023,170774.74,116266656,113,7.89E+12,spending,training,bank,none,0
17,04-10-2023,179034.32,585738843,110,5.53E+12,spending,maintenance,bank,none,0
18,23-08-2024,13615.96,585738843,110,5.53E+12,spending,training,bank,none,0
19,04-04-2023,17072.16,434158799,108,2.22E+12,spending,training,bank,none,0
20,15-11-2023,115714.23,329245687,105,1.62E+12,spending,operations,bank,none,0
21,18-03-2023,84904.9,193570372,103,1.59E+12,spending,maintenance,bank,none,0
22,31-03-2024,60495.96,734537864,110,6.74E+12,procurement,infrastructure,bank,none,0
23,11-01-2023,34091.29,450354820,107,6.81E+12,welfare,benefit_transfer,bank,none,0
24,04-10-2024,66659.12,116266656,113,7.89E+12,spending,maintenance,bank,none,0
25,13-11-2024,9168.98,325182357,112,8.32E+12,welfare,aid,bank,none,0
